"set_num","name","year","num_parts","theme"
"326-1","Small Cottage",1965,63,"Classic"
"327-1","Basic Building Set",1987,107,"Universal Building Set"
"3287-1","Takutanuva",2004,2,"Bionicle"
"3300001-1","Brickley",2011,197,"Creator"
"330-1","Basic Building Set",1985,158,"Universal Building Set"
"3330-1","Racing Car",1998,17,"Universal Building Set"
"333-1","Basic Set",1981,100,"Universal Building Set"
"3331-1","Bird",1998,14,"Universal Building Set"
"3332-1","Plane",1998,18,"Universal Building Set"
"3333-1","Helicopter",1998,17,"Universal Building Set"
"3340-1","Star Wars #1 - Sith Minifig Pack",2000,30,"Star Wars"
"3341-1","Star Wars #2 - Luke/Han/Boba Minifig Pack",2000,25,"Star Wars"
"3342-1","Star Wars #3 - Troopers/Chewie Minifig Pack",2000,25,"Star Wars"
"3343-1","Star Wars #4 - Battle Droid Minifig Pack",2000,33,"Star Wars"
"335-1","Basic Building Set",1990,245,"Universal Building Set"
"337-1","Basic Building Set",1987,225,"Universal Building Set"
"3-4","Basic Set",1973,191,"Universal Building Set"
"340-1","Basic Building Set",1985,220,"Universal Building Set"
"340-3","Railroad Control Tower",1968,74,"Classic"
"341-1","Warehouse",1968,123,"Classic"
"342-1","Station",1968,191,"Classic"
"3438-1","McDonald's Restaurant",1999,93,"Classic Town"
"3439-1","Spy Runner",2000,105,"Classic Town"
"3442-1","Legoland California Truck, Limited Edition",1998,104,"Classic Town"
"345-2","Small Bucket for Her",1993,135,"Universal Building Set"
"347-2","Basic Building Set",1987,330,"Universal Building Set"
"350-2","Basic Building Set",1985,315,"Universal Building Set"
"355-2","Basic Set",1981,160,"Universal Building Set"
"356-2","Basic Building Set with Storage Case",1987,331,"Universal Building Set"
"359-1","Environment Plate",1972,1,"Universal Building Set"
"3598-1","XXL 2000 Canister",2005,2000,"Creator"
"3600-1","Build Your Own House Tub",2005,1201,"Creator"
"361-2","Garage",1979,79,"Classic Town"
"3648-1","Police Chase",2011,172,"City"
"365-2","Build-N-Store Chest",1990,337,"Universal Building Set"
"3658-1","Police Helicopter",2011,236,"City"
"366-1","Basic Set",1981,184,"Universal Building Set"
"3661-1","Bank & Money Transfer",2011,408,"City"
"374-1","Fire Station",1978,334,"Classic Town"
"3758-1","35th Anniversary Bucket",1998,600,"Universal Building Set"
"3759-1","35th Anniversary Tub",1998,1200,"Universal Building Set"
"376-2","Town House with Garden",1978,244,"Classic Town"
"377-1","Shell Service Station",1978,190,"Classic Town"
"379-1","Bus Station",1979,177,"Classic Town"
"381-2","Police Headquarters",1979,372,"Classic Town"
"385-2","Build-N-Store Chest",1990,450,"Universal Building Set"
"390-1","Helicopter",1986,24,"Universal Building Set"
"391-2","Police Car",1986,22,"Universal Building Set"
"392-2","Fire Engine",1986,30,"Universal Building Set"
"3928-1","Sandy Moondust Mars Rover Mission Astrobot Female",2002,5,"Space"
"3929-1","Biff Starling Mars Rover Mission Astrobot Male",2002,5,"Space"
"393-2","Tow Truck",1986,29,"Universal Building Set"
"400-1","Universal Building Set",1977,317,"Universal Building Set"
"40019-1","Brickley",2011,59,"Creator"
"40025-1","{Yellow Cab}",2012,44,"Creator"
"400-3","Small Wheels with Axles (The Building Toy)",1966,12,"Classic"
"400-4","Small Wheels with Axles (System)",1963,12,"Classic"
"40049-1","Mini Sopwith Camel",2012,65,"Creator"
"40077-1","Geoffrey",2013,90,"Creator"
"40078-1","Hot Dog Cart",2013,39,"Creator"
"40079-1","Mini VW T1 Camper Van",2013,75,"Creator"
"40-1","Universal Building Set",1976,293,"Universal Building Set"
"40108-1","Balloon Cart",2014,66,"Creator"
"40109-1","MINI Cooper Mini Model",2014,59,"Creator"
"40110-1","Coin Bank",2014,121,"City"
"401-2","Large Wheels with Axles (The Building Toy)",1966,7,"Classic"
"401-3","Large Wheels with Axles (System)",1964,7,"Classic"
"4013-1","Create and Imagine",2003,1000,"Creator"
"40140-1","Flower Cart",2015,75,"Creator"
"4014-1","Creator Exclusive",2003,500,"Creator"
"4016-1","Racer",2001,21,"Creator"
"4017-1","Sea Helicopter",2001,13,"Creator"
"4018-1","Ship",2001,12,"Creator"
"40207-1","Year Of The Monkey",2016,165,"Creator"
"402-1","Universal Building Set",1977,401,"Universal Building Set"
"402-2","White Turntables",1964,5,"Classic"
"40220-1","London Bus",2016,117,"Creator"
"40221-1","Fountain",2016,105,"Creator"
"40226-1","Birthday Buddy",2016,133,"Creator"
"402-3","White Turntables",1966,5,"Classic"
"4023-1","Fun and Adventure",2003,55,"Creator"
"40252-1","Mini VW Beetle",2017,141,"Creator"
"4026-1","Create Your Dreams {Canister, blue top}",2003,100,"Creator"
"4027-1","Build and Imagine {canister, red top}",2003,100,"Creator"
"4028-1","World of Bricks {Blue Bucket}",2003,500,"Creator"
"4029-1","Build with Bricks Bucket {Red Bucket}",2003,500,"Creator"
"403-2","Train Couplers and Wheels (The Building Toy)",1967,12,"Classic"
"403-3","Train Couplers and Wheels (System)",1966,12,"Classic"
"4037-1","Helicopter",2004,9,"Creator"
"4038-1","Airplane",2003,33,"Universal Building Set"
"404-1","Universal Building Set",1977,471,"Universal Building Set"
"404-3","Wheels for Motor (The Building Toy)",1967,12,"Classic"
"404-4","Wheels for the Motor (System)",1967,12,"Classic"
"409-1","38 Slimbricks Assorted Sizes (The Building Toy)",1965,114,"Classic"
"4103-1","Fun with Bricks {small red bucket}",2002,200,"Creator"
"4103-2","Fun with Bricks (4293364) - with Minifigs",2006,204,"Creator"
"4104-1","Small Creator Bucket",2002,200,"Creator"
"4105-1","Imagine and Build",2002,500,"Creator"
"4105-2","50th Anniversary Bucket",2005,500,"Creator"
"4105-3","Red Bucket",2005,483,"Creator"
"4106-1","Large red bucket",2002,500,"Creator"
"4107-1","Build Your Dreams",2002,1000,"Creator"
"4113-1","Brick Adventures Small Bucket",2002,124,"Creator"
"4115-1","All That Drives Bucket",2001,166,"Creator"
"4116-1","Animal Adventures Bucket",2001,211,"Creator"
"4117-1","Fantastic Flyers & Cool Cars Bucket",2001,266,"Creator"
"4117463-1","Cyber Saucer TRU 50 Years Forever Fun Bundle",1997,2,"Space"
"4118-1","Buildings, Mansions and Shops",2001,364,"Creator"
"4119-1","Regular & Transparent Bricks Bucket",2001,234,"Creator"
"4120-1","Fun and Cool Transportation",2001,608,"Creator"
"4121-1","All Kinds of Animals / Lap Table",2001,174,"Creator"
"4122-1","Basic Building Set",2000,201,"Universal Building Set"
"414-3","Windows Parts Pack, Red (The Building Toy)",1966,10,"Classic"
"414-4","Windows Parts Pack, White (The Building Toy)",1966,10,"Classic"
"414-5","Windows Parts Pack, Red (System)",1966,10,"Classic"
"414-6","Windows Parts Pack, White (System)",1966,10,"Classic"
"415-1","5 Sixteens and 4 Twenties (System)",1966,27,"Classic"
"4151270-1","Star Wars Co-Pack of 7121 and 7111",2000,2,"Star Wars"
"416-1","4 Sixteens 2 Twenties (The Building Toy)",1966,18,"Classic"
"4171-1","Spot & Friends",2001,53,"Creator"
"4172-1","Tina's House",2001,44,"Creator"
"417-3","Cornerbricks (The Building Toy)",1966,10,"Classic"
"4173-1","Max's Pitstop",2001,59,"Creator"
"417-4","Cornerbricks (System)",1966,20,"Classic"
"4174-1","Max Goes Flying",2001,173,"Creator"
"4175-1","Adventures with Max & Tina",2001,219,"Creator"
"4176-1","The Race of the Year",2001,326,"Creator"
"4177-1","Building Stories w/NaNa Bird",2001,382,"Creator"
"4179-1","Large Creator Box",2002,500,"Creator"
"418-2","2 x 4 Bricks (The Building Toy)",1966,65,"Classic"
"418-3","2 x 4 Bricks (System)",1966,126,"Classic"
"419-2","2 x 3 Bricks (The Building Toy)",1966,75,"Classic"
"419-3","2 x 3 Bricks (System)",1966,150,"Classic"
"4195641-1","Star Wars Co-Pack of 7142 and 7152",2002,2,"Star Wars"
"41999-1","4 x 4 Crawler Exclusive Edition ""BOSS Crawler"" [Co-Creation Model]",2013,1583,"Technic"
"4200-1","Mining 4 x 4",2012,101,"City"
"42001-1","Mini Off-Roader",2013,100,"Technic"
"42002-1","Hovercraft",2013,169,"Technic"
"42005-1","Monster Truck",2013,328,"Technic"
"42006-1","Excavator",2013,719,"Technic"
"42007-1","Moto Cross Bike",2013,253,"Technic"
"42008-1","Service Truck",2013,1275,"Technic"
"42010-1","Off-Road Racer",2013,159,"Technic"
"4201-1","Loader and Tipper",2012,138,"City"
"42011-1","Race Car",2013,157,"Technic"
"42020-1","Twin Rotor Helicopter",2014,145,"Technic"
"42021-1","Snowmobile",2014,185,"Technic"
"42022-1","Hot Rod",2014,413,"Technic"
"42023-1","Construction Crew",2014,833,"Technic"
"42024-1","Container Truck",2014,947,"Technic"
"42026-1","Black Champion Racer",2014,136,"Technic"
"42026-2","Black Champion Racer",2014,137,"Technic"
"42027-1","Desert Racer",2014,148,"Technic"
"42029-1","Customized Pick up Truck",2014,1062,"Technic"
"420-3","2 x 2 Bricks (The Building Toy)",1966,100,"Classic"
"4203-1","Excavator Transporter",2012,304,"City"
"420-4","2 x 2 Bricks (System)",1966,198,"Classic"
"4204-1","The Mine",2012,751,"City"
"42042-1","Crawler Crane",2015,1399,"Technic"
"42043-1","Mercedes Benz Arocs 3245",2015,2792,"Technic"
"42044-1","Display Team Jet",2016,113,"Technic"
"42045-1","Hydroplane Racer",2016,179,"Technic"
"42046-1","Getaway Racer",2016,170,"Technic"
"42047-1","Police Interceptor",2016,185,"Technic"
"42048-1","Race Kart",2016,344,"Technic"
"42049-1","Mine Loader",2016,475,"Technic"
"42050-1","Drag Racer",2016,646,"Technic"
"4205-1","Off Road Command Center",2012,388,"City"
"42052-1","Heavy Lift Helicopter",2016,1041,"Technic"
"42053-1","Volvo EW 160E",2016,1166,"Technic"
"42054-1","Claas Xerion 5000 Trac VC",2016,1975,"Technic"
"42056-1","Porsche 911 GT3 RS",2016,2704,"Technic"
"42057-1","Ultralight Helicopter",2017,199,"Technic"
"42058-1","Stunt Bike",2017,140,"Technic"
"42059-1","Stunt Truck",2017,141,"Technic"
"42060-1","Roadwork Crew",2017,364,"Technic"
"42061-1","Telehandler",2017,259,"Technic"
"4206-2","Recycling Truck",2012,296,"City"
"42062-1","Container Yard",2017,630,"Technic"
"42063-1","BMW R 1200 GS Adventure",2017,593,"Technic"
"42063-40","Technic 40 year anniversary model (42057 + 42061 + 42063)",2017,568,"Technic"
"42064-1","Ocean Explorer",2017,1326,"Technic"
"42065-1","RC Tracked Racer",2017,369,"Technic"
"42066-1","Air Race Jet",2017,1150,"Technic"
"4207-1","City Garage",2012,932,"City"
"4207901-1","Star Wars MINI Bonus Pack",2003,4,"Star Wars"
"4208-1","4 × 4 Fire Truck",2012,242,"City"
"4209-1","Fire Plane",2012,507,"City"
"4210-1","Coast Guard Platform",2008,450,"City"
"421-1","1 x 2 Bricks",1966,176,"Classic"
"4211-1","Starter Set 100",1998,53,"Universal Building Set"
"421-2","2 eights 2 sixes 2 fours 8 twos 6 ones (The Building Toy)",1966,20,"Classic"
"4212-1","Starter Set 200",1998,95,"Universal Building Set"
"4213-1","Super Set 200",1998,519,"Universal Building Set"
"4214-1","Medium Bucket",1998,264,"Universal Building Set"
"4215-1","Starter Set 300",1998,264,"Universal Building Set"
"4216-1","Super Set 100",1998,509,"Universal Building Set"
"4217-1","Playdesk and Bricks",1998,215,"Universal Building Set"
"4219-1","Brick Pack 100",1998,288,"Universal Building Set"
"4220-1","Large Box of Bricks",1998,428,"Universal Building Set"
"422-1","1 x 1, 1 x 2, 1 x 4, 1 x 6, 1 x 8 Bricks",1966,28,"Classic"
"4221-1","Challenger Set 100",1998,65,"Universal Building Set"
"4222-1","Challenger Set 300",1998,363,"Universal Building Set"
"4223-1","Challenger Set 400 with Motor",1999,548,"Universal Building Set"
"4224-1","Medium Bucket",1998,363,"Universal Building Set"
"4225-1","Challenger Set 350",1998,244,"Universal Building Set"
"4228383-1","Vakama Promotional Set (Woolworth's Exclusive)",2003,3,"Bionicle"
"4229-1","Brick Pack 300",1998,812,"Universal Building Set"
"423-3","Curved and Round Bricks (The Building Toy)",1966,84,"Classic"
"426-1","7 Named Beams (The Building Toy)",1966,7,"Classic"
"427-1","8 Plates 2 x 8 (The Building Toy)",1966,8,"Classic"
"4278-1","Blue Tub",2003,1000,"Creator"
"4279-1","CREATOR Strata Red {Red Tub}",2003,1002,"Creator"
"428-1","5 Plates 4 x 8 (The Building Toy)",1966,5,"Classic"
"4281-1","Classic Trial Size",1999,25,"Universal Building Set"
"4282-1","Classic Trial Size",1999,37,"Universal Building Set"
"4283-1","Classic Trial Box",2000,53,"Universal Building Set"
"4284-1","Classic Trial Size",1999,123,"Universal Building Set"
"4285-1","Small Bucket",1999,256,"Universal Building Set"
"4288-1","Large Bucket",1999,404,"Universal Building Set"
"429-1","4 Plates 6 x 8 (The Building Toy)",1966,4,"Classic"
"4291-1","Classic Build & Store Tub",1999,770,"Universal Building Set"
"4293-1","Classic Value Pack",1999,817,"Universal Building Set"
"4294-1","Helicopter ANA Promotional Set",2002,16,"Universal Building Set"
"4-3","Basic Set",1973,234,"Universal Building Set"
"430-2","Six Trees and Bushes (The Building Toy)",1966,6,"Classic"
"4305-1","Xcyber",1997,36,"Space"
"431-1","Gas Station (The Building Toy)",1966,13,"Classic"
"432-1","Road Signs (The Building Toy)",1966,8,"Classic"
"433-1","6 Street Lamps with Curved Top (The Building Toy)",1966,6,"Classic"
"434-1","50 lettered bricks (The Building Toy)",1966,50,"Classic"
"435-2","Garage Plate and Door (The Building Toy)",1966,3,"Classic"
"437-1","50 numbered bricks (The Building Toy)",1966,50,"Classic"
"4400-1","Creations and Bricks {Red Tub}",2003,705,"Creator"
"4405-1","Large Creator Bucket",2003,1305,"Creator"
"4406-1","Buildings",2004,506,"Creator"
"4407-1","Transportation",2004,302,"Creator"
"4408-1","Animals",2004,202,"Creator"
"4410-1","Build and Create",2004,500,"Creator"
"4411-1","Blue Strata XXL",2004,1200,"Creator"
"4412-1","Einfallsreiches Bauen [Imaginative Building]",2004,200,"Creator"
"4414-1","LEGO Creator Bucket",2004,500,"Creator"
"442-1","Space Shuttle",1979,39,"Space"
"4421-1","Box of Bricks",2005,1000,"Creator"
"4423-1","LEGO Creator Handy Box",2005,800,"Creator"
"4425-1","Better Building More Fun",2004,2000,"Creator"
"4427-1","Fire ATV",2012,50,"City"
"4429-1","Helicopter Rescue",2012,425,"City"
"442A-1","6 International Flags (The Building Toy)",1971,6,"Classic"
"442B-1","6 International Flags (The Building Toy)",1971,6,"Classic"
"4430-1","Mobile Fire Command Center",2012,520,"City"
"4431-1","Ambulance",2012,198,"City"
"4432-1","Garbage Truck",2012,207,"City"
"4433-1","Dirt Bike Transporter",2012,205,"City"
"4434-1","Tipper Truck",2012,221,"City"
"4435-1","Car and Caravan",2012,217,"City"
"4436-1","Patrol Car",2012,96,"City"
"4437-1","Police Pursuit",2012,129,"City"
"4438-1","Robbers' Hideout",2012,316,"City"
"4439-1","Heavy-Duty Helicopter",2012,392,"City"
"4440-1","Forest Police Station",2012,632,"City"
"4441-1","Police Dog Van",2012,312,"City"
"4442-1","Glider",2012,101,"City"
"445062-1","Star Wars Co-Pack of 4500 and 4504",2004,2,"Star Wars"
"445-2","Lighting Device Pack (The Building Toy)",1966,3,"Classic"
"445A-1","Lighting Device Pack with Improved Plugs (The Building Toy)",1970,8,"Classic"
"4473-1","Police Helicopter",2013,106,"City"
"4475-1","Jabba's Message",2003,46,"Star Wars"
"4476-1","Jabba's Prize",2003,40,"Star Wars"
"4477-1","T-16 Skyhopper",2003,98,"Star Wars"
"4478-1","Geonosian Fighter, Black Box",2003,171,"Star Wars"
"4478-2","Geonosian Fighter Blue Box",2004,153,"Star Wars"
"4479-1","TIE Bomber",2003,229,"Star Wars"
"4480-1","Jabba's Palace",2003,234,"Star Wars"
"4481-1","Hailfire Droid",2003,680,"Star Wars"
"4482-1","AT-TE",2003,650,"Star Wars"
"4483-1","AT-AT, black box",2003,1070,"Star Wars"
"4483-2","AT-AT, blue box",2004,1070,"Star Wars"
"4484-1","X-wing Fighter & TIE Advanced - Mini",2003,72,"Star Wars"
"4485-1","Sebulba's Podracer & Anakin's Podracer - Mini",2003,72,"Star Wars"
"4486-1","AT-ST & Snowspeeder - Mini",2003,76,"Star Wars"
"4487-1","Jedi Starfighter & Slave I - Mini",2003,53,"Star Wars"
"4488-1","Millennium Falcon - Mini",2003,87,"Star Wars"
"4489-1","AT-AT - Mini",2003,98,"Star Wars"
"4490-1","Republic Gunship - Mini",2003,102,"Star Wars"
"4491-1","Trade Federation MTT - Mini",2003,99,"Star Wars"
"4492-1","Imperial Star Destroyer - Mini",2004,87,"Star Wars"
"4493-1","Sith Infiltrator - Mini",2004,55,"Star Wars"
"4494-1","Imperial Shuttle - Mini",2004,82,"Star Wars"
"4495-1","AT-TE - Mini",2004,63,"Star Wars"
"4495173-1","LEGO Creative Building Set",2006,705,"Creator"
"4496-1","Fun with Building Tub",2004,1000,"Creator"
"4496-2","50th Anniversary Tub",2005,1000,"Creator"
"4496-3","Fun with Building Tub - Reissue",2006,798,"Creator"
"4497-1","Pretend and Create",2004,1000,"Creator"
"4500-1","Rebel Snowspeeder [Redesign] - Blue box",2003,216,"Star Wars"
"4500-2","Rebel Snowspeeder (redesign), Original Trilogy Edition box",2004,211,"Star Wars"
"4501-1","Mos Eisley Cantina, Blue box",2003,197,"Star Wars"
"4501-2","Mos Eisley Cantina, Original Trilogy Edition box",2004,194,"Star Wars"
"4502-1","X-wing Fighter (Dagobah), Blue box",2003,566,"Star Wars"
"4502-2","X-wing Fighter (Dagobah), Original Trilogy Edition box",2004,565,"Star Wars"
"4504-1","Millennium Falcon (Redesign), Blue box",2003,996,"Star Wars"
"4504-2","Millennium Falcon (Redesign), Original Trilogy Edition box",2003,979,"Star Wars"
"451-1","1 x 6 x 3 Window, Red or White",1966,12,"Classic"
"4518-1","Creator Set",2004,805,"Creator"
"452-1","Mobile Ground Tracking Station",1979,79,"Space"
"452-2","1 x 6 x 2 Window, Red or White",1966,16,"Classic"
"453-1","Two Crater Plates",1979,2,"Space"
"453-2","1 x 6 x 2 Shuttered Windows, Red or White",1966,16,"Classic"
"4538-1","Special Edition",2004,200,"Creator"
"4540315-1","LEGO Creative Bucket (TRU Exclusive)",2009,480,"Creator"
"454-1","Two Lunar Landing Plates",1979,2,"Space"
"454-2","1 x 4 x 2 Window, Red or White",1966,18,"Classic"
"4547551-1","Darth Vader 10 Year Anniversary Promotional Minifigure",2009,7,"Star Wars"
"4548431-1","Brick Tub 'Die Lego Show' - Limited Edition",2008,701,"Creator"
"455-2","1 x 3 x 2 Window, Red or White",1966,24,"Classic"
"456-2","1 x 2 x 2 Window, Red or White",1966,30,"Classic"
"4562-1","Creator Box",2004,200,"Creator"
"457-1","1 x 1 x 2 Window, Red or White",1966,38,"Classic"
"458-1","1 x 2 x 1 Window, Red or White",1966,38,"Classic"
"4586940-1","Basic Set Limited Edition",2010,480,"Creator"
"459-1","1 x 1 x 1 Window, Red or White",1966,40,"Classic"
"4591726-1","Stormtrooper",2009,1,"Star Wars"
"4597068-1","Boba Fett",2010,1,"Star Wars"
"460-2","1 x 2 x 3 Door, Red or White",1966,26,"Classic"
"462-1","Mobile Rocket Launcher",1979,77,"Space"
"462-2","2 x 8 Plates, White",1966,16,"Classic"
"4625-1","LEGO Pink Brick Box",2012,219,"Creator"
"4626-1","Farm Brick Box",2012,231,"Creator"
"4628-1","Fun with Bricks",2012,600,"Creator"
"4630-1","Build and Play Box",2012,1000,"Creator"
"463-1","4 x 8 Plates, White",1966,8,"Classic"
"4635-1","Fun with Vehicles",2012,525,"Creator"
"4636-1","Police Building Set",2012,130,"Creator"
"4637-1","Safari Building Set",2012,152,"Creator"
"464-1","6 x 8 Plates, White",1966,6,"Classic"
"4641-1","Speed Boat",2011,34,"City"
"4642-1","Fishing Boat",2011,63,"City"
"4643-1","Power Boat Transporter",2011,245,"City"
"4644-1","Marina",2011,272,"City"
"4645-1","Harbor",2011,550,"City"
"4649858-1","Shadow ARF Trooper Promotional Polybag",2011,5,"Star Wars"
"4679-1","Bricks and Creations Tub",2004,2,"Creator"
"4679-2","Bricks and Creations Tub - (TRU Exclusive)",2005,2,"Creator"
"4679a-1","Bricks and Creations Tub (Bottom Tub and its contents only)",2004,1000,"Creator"
"4679a-2","Bricks and Creations Tub - (TRU Exclusive) (Bottom Tub and its contents only)",2005,1000,"Creator"
"4679b-2","Free 500 LEGO Bricks (Bonus box and its contents only)",2005,500,"Creator"
"4696-1","Blue Bucket",2004,200,"Creator"
"470-1","1 x 1, 1 x 2, 2 x 2, 2 x 3, 2 x 4 Plates (System)",1966,273,"Classic"
"471-1","Tiles (System)",1966,156,"Classic"
"4741-1","Blacktron Super Vehicle (Value 3-Pack)",1993,4,"Space"
"4780-1","Box of Bricks",2005,500,"Creator"
"4781-1","Box of Bricks",2005,300,"Creator"
"4782-1","Box of Bricks",2005,200,"Creator"
"4782-2","Creator 200 Piece Box of Bricks - Individual Retail Version",2005,200,"Creator"
"480-4","Slopes and Slopes Double 2 x 4, Red (The Building Toy)",1966,14,"Classic"
"480-5","Slopes and Slopes Double 2 x 4, Blue (The Building Toy)",1966,14,"Classic"
"480-6","Slopes and Slopes Double 2 x 4, Red (System)",1966,23,"Classic"
"480-7","Slopes and Sloped Double 2 x 4, Blue (System)",1966,23,"Classic"
"4810-1","Blue Creator Bucket",2001,256,"Creator"
"481-3","Slopes and Slopes Double 2 x 3 and 2 x 1, Red (The Building Toy)",1966,21,"Classic"
"481-4","Slopes and Slopes Double 2 x 3 an 2 x 1, Blue (The Building Toy)",1966,21,"Classic"
"481-5","Slopes Regular, Double, Angle, Valley and Corner, Red (System)",1966,34,"Classic"
"481-6","Slopes Regular, Double, Angle, Valley and Corner, Blue (System)",1966,34,"Classic"
"482-3","Slopes and Slopes Double 2 x 2, Red (The Building Toy)",1966,22,"Classic"
"482-4","Slopes and Slopes Double 2 x 2, Blue (The Building Toy)",1966,22,"Classic"
"483-1","Alpha-1 Rocket Base",1979,187,"Space"
"483-4","Angle, Valley and Corner Slopes, Red (The Building Toy)",1966,20,"Classic"
"483-5","Angle, Valley and Corner Slopes, Blue (The Building Toy)",1966,20,"Classic"
"4837-1","Mini Trains",2008,73,"Creator"
"4838-1","Mini Vehicles",2008,79,"Creator"
"485-2","Lighting Brick (System)",1966,4,"Classic"
"4868-1","Rahaga Gaaki",2005,28,"Bionicle"
"4869-1","Rahaga Pouks",2005,28,"Bionicle"
"4870-1","Rahaga Kualus",2005,28,"Bionicle"
"487-1","Space Cruiser",1979,172,"Space"
"487-2","1 x 1 Bricks with Numbers (System)",1966,44,"Classic"
"4877-1","Rahaga Norik",2005,28,"Bionicle"
"4878-1","Rahaga Bomonga",2005,28,"Bionicle"
"4879-1","Rahaga Iruini",2005,28,"Bionicle"
"488-1","1 x 1 Bricks with Letters (System)",1966,44,"Classic"
"489-1","Traffic Signs",1966,14,"Classic"
"4891-1","Highway Haulers",2006,210,"Creator"
"4896-1","Roaring Roadsters",2006,931,"Creator"
"4897-1","Police Trike",2008,24,"City"
"4898-1","Coast Guard Boat",2008,35,"City"
"4899-1","Farmer & Tractor",2009,28,"City"
"4900-1","Fire Helicopter",2008,30,"City"
"490-2","Trees and Bushes",1966,9,"Classic"
"4911-1","Designer Set",2005,37,"Creator"
"491-2","Shell Station Brick and Sign, 6 Named Beams",1966,20,"Classic"
"4912-1","Police Jet Ski",2005,22,"City"
"4914-1","Fire Chief's Car",2005,31,"City"
"4919-1","Blue Tub",2005,1500,"Creator"
"492-2","Nordic and American Flags",1966,8,"Classic"
"493-1","Space Command Center (Flatplate version)",1979,193,"Space"
"493-2","European Flags",1966,8,"Classic"
"493-3","Space Command Center (Craterplate version)",1979,177,"Space"
"4933-1","Street Sweeper",2007,14,"City"
"4936-1","Medic and Patient",2007,18,"City"
"4937-1","Life Guard - Quick Magic Box Promotional",2007,38,"City"
"4938-1","Fireman's Car",2007,28,"City"
"4939-1","Cool Cars",2007,206,"Creator"
"494-1","Gates and Fence, Red (System)",1967,17,"Classic"
"494-2","Gates and Fence, White (The Building Toy)",1967,17,"Classic"
"497-1","Galaxy Explorer",1979,342,"Space"
"4991-1","Police Helicopter",2007,26,"City"
"4992-1","Fire Boat",2007,23,"City"
"5000062-1","Darth Maul",2012,3,"Star Wars"
"5000063-1","TC-14",2012,3,"Star Wars"
"5000067-1","Star Wars Sith Kit",2011,2,"Star Wars"
"5000281-1","Chase McCain",2012,4,"City"
"5001134-1","Mining Collection",2012,5,"City"
"5001136-1","Buildable Galaxy Collection",2012,3,"Star Wars"
"5001137-1","Battle Pack Collection",2012,2,"Star Wars"
"5001307-1","Buildable Galaxy Collection II",2012,3,"Star Wars"
"5001308-1","The Old Republic Collection",2012,2,"Star Wars"
"5001309-1","Return of the Jedi Collection",2012,2,"Star Wars"
"5001621-1","Han Solo (Hoth)",2013,2,"Star Wars"
"5001709-1","Clone Trooper Lieutenant",2013,4,"Star Wars"
"5002122-1","TC-4",2014,3,"Star Wars"
"5002123-1","Darth Revan",2014,7,"Star Wars"
"5002136-1","Arctic Accessory Set",2014,25,"City"
"5002812-1","D2C Minifigure Retro Set 2014",2014,18,"Space"
"5002938-1","Stormtrooper Sergeant",2015,6,"Star Wars"
"5002939-1","The Phantom",2015,23,"Star Wars"
"5002941-1","Bionicle Hero Pack",2015,6,"Bionicle"
"5002942-1","Bionicle Villain Pack",2015,10,"Bionicle"
"5002947-1","Admiral Yularen",2015,4,"Star Wars"
"5003096-1","LEGO® City Fire Collection: 60004 and 850618",2014,2,"City"
"5004406-1","First Order General",2016,4,"Star Wars"
"5004408-1","Rebel A-wing Pilot",2016,5,"Star Wars"
"5004409-1","Bionicle 2016 Accessory Pack",2016,5,"Bionicle"
"50-1","Universal Building Set",1976,390,"Universal Building Set"
"501-3","JUMBO Pull Toy",1966,9,"Classic"
"502-2","Pre-School Medium Set",1968,8,"Classic"
"503-1","Basic Building Set",1987,39,"Universal Building Set"
"503-2","Pre-School Large Set",1968,16,"Classic"
"504-1","Basic Building Set",1985,41,"Universal Building Set"
"507-1","Basic Building Set",1987,60,"Universal Building Set"
"508-1","Basic Building Set",1985,66,"Universal Building Set"
"509-1","38 Slimbricks Assorted Sizes",1965,228,"Classic"
"510-1","Basic Building Set",1985,102,"Universal Building Set"
"510-2","Tiles",1965,156,"Classic"
"515-1","Basic Building Set",1990,115,"Universal Building Set"
"517-1","Basic Building Set",1987,123,"Universal Building Set"
"518-1","2 x 4 Plates (cardboard box version)",1962,192,"Classic"
"519-1","2 x 3 Plates (cardboard box version)",1962,240,"Classic"
"520-1","2 x 2 Plates - Black (cardboard box version)",1962,40,"Classic"
"520-16","Basic Building Set",1985,173,"Universal Building Set"
"520-2","2 x 2 Plates - Blue (cardboard box version)",1962,40,"Classic"
"520-3","2 x 2 Plates - Green (cardboard box version)",1962,40,"Classic"
"520-4","2 x 2 Plates - Light Gray (cardboard box version)",1963,40,"Classic"
"520-5","2 x 2 Plates - Red (cardboard box version)",1963,40,"Classic"
"520-6","2 x 2 Plates - Trans-Clear (cardboard box version)",1963,40,"Classic"
"5206-1","Speed Computer",2000,19,"Technic"
"520-7","2 x 2 Plates - White (cardboard box version)",1963,40,"Classic"
"520-8","2 x 2 Plates - Yellow (cardboard box version)",1962,40,"Classic"
"521-1","1 x 1 and 1 x 2 Plates (cardboard box version)",1962,640,"Classic"
"5218-1","Pneumatic Pack",2000,152,"Technic"
"5219-1","Wheel Pack",2000,28,"Technic"
"5220-1","Styling Pack",2000,220,"Technic"
"5221-1","Motor Pack",2000,55,"Technic"
"5222-1","Chassis Pack",2000,137,"Technic"
"5223-1","Wind-up Motor",2001,41,"Technic"
"525-1","Basic Building Set",1990,185,"Universal Building Set"
